expert_id,round,years_experience,lcdp_experience_count,skill_id,project_stage,project_task,skill_name,usage_label,usage,difficulty_label,difficulty,weight,source_file,final_round_source
E01_RW,1,20+,4,1,Design,Workflow model,+BPMN Process Model,5 - Essential / continuous,5,2 - Easy,2,10,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,2,Design,Workflow model,Custom Process Model,4 - Frequent / important,4,4 - Difficult,4,16,Expert_Survey_E01_RW.xlsx,Round 2
E01_RW,1,20+,4,3,Design,Database model,+Business Data Types,4 - Frequent / important,4,1 - Very easy,1,4,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,4,Design,Database model,+Form-based Data,2 - Occasional / peripheral,2,2 - Easy,2,4,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,5,Design,Database model,+Item-Detail,2 - Occasional / peripheral,2,3 - Moderate,3,6,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,6,Design,Database model,+Lookup/Drop-down,2 - Occasional / peripheral,2,3 - Moderate,3,6,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,7,Design,Database model,+Predefined Entities,1 - Rare / avoidable,1,1 - Very easy,1,1,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,8,Design,Database model,Domain Model,4 - Frequent / important,4,3 - Moderate,3,12,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,9,Design,Database model,Conditional Expressions,5 - Essential / continuous,5,2 - Easy,2,10,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,10,Design,Database model,Constraints,4 - Frequent / important,4,3 - Moderate,3,12,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,11,Design,Database model,Data Structure,4 - Frequent / important,4,4 - Difficult,4,16,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,12,Design,Database model,IT Data Types,2 - Occasional / peripheral,2,4 - Difficult,4,8,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,13,Design,Database model,Denormalization,2 - Occasional / peripheral,2,5 - Very difficult,5,10,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,14,Design,Database model,Entity Diagrams,3 - Moderate / recurring,3,2 - Easy,2,6,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,15,Design,Database model,Enumerations,4 - Frequent / important,4,4 - Difficult,4,16,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,16,Design,Database model,Expressions,3 - Moderate / recurring,3,5 - Very difficult,5,15,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,17,Design,Database model,Relational Database,3 - Moderate / recurring,3,3 - Moderate,3,9,Expert_Survey_E01_RW.xlsx,Round 2
E01_RW,1,20+,4,18,Design,Database model,XML/XPath,3 - Moderate / recurring,3,5 - Very difficult,5,15,Expert_Survey_E01_RW.xlsx,Round 2
E01_RW,1,20+,4,19,Design,UI model,+App templates,3 - Moderate / recurring,3,2 - Easy,2,6,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,20,Design,UI model,+Business Data Types,3 - Moderate / recurring,3,2 - Easy,2,6,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,21,Design,UI model,+Screen Templates,3 - Moderate / recurring,3,2 - Easy,2,6,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,22,Design,UI model,+UI Branding,2 - Occasional / peripheral,2,2 - Easy,2,4,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,23,Design,UI model,+View Types,5 - Essential / continuous,5,2 - Easy,2,10,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,24,Design,UI model,Expressions,5 - Essential / continuous,5,3 - Moderate,3,15,Expert_Survey_E01_RW.xlsx,Round 2
E01_RW,1,20+,4,25,Design,UI model,IT Data Types,4 - Frequent / important,4,3 - Moderate,3,12,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,26,Design,UI model,Functions,4 - Frequent / important,4,4 - Difficult,4,16,Expert_Survey_E01_RW.xlsx,Round 2
E01_RW,1,20+,4,27,Design,UI model,Model-driven Apps,4 - Frequent / important,4,4 - Difficult,4,16,Expert_Survey_E01_RW.xlsx,Round 2
E01_RW,1,20+,4,28,Design,UI model,Reactive Web App,4 - Frequent / important,4,4 - Difficult,4,16,Expert_Survey_E01_RW.xlsx,Round 2
E01_RW,1,20+,4,29,Design,UI model,Responsive Web Design,4 - Frequent / important,4,4 - Difficult,4,16,Expert_Survey_E01_RW.xlsx,Round 2
E01_RW,1,20+,4,30,Design,UI model,Variables,5 - Essential / continuous,5,3 - Moderate,3,15,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,31,Design,Validations,+Business Rules,5 - Essential / continuous,5,3 - Moderate,3,15,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,32,Design,Validations,+Lookup/Drop-down,5 - Essential / continuous,5,3 - Moderate,3,15,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,33,Design,Validations,Expressions,4 - Frequent / important,4,4 - Difficult,4,16,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,34,Design,Validations,Enumerations,4 - Frequent / important,4,3 - Moderate,3,12,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,35,Design,Validations,JavaScript,3 - Moderate / recurring,3,5 - Very difficult,5,15,Expert_Survey_E01_RW.xlsx,Round 2
E01_RW,1,20+,4,36,Design,Validations,Scripts,3 - Moderate / recurring,3,5 - Very difficult,5,15,Expert_Survey_E01_RW.xlsx,Round 2
E01_RW,1,20+,4,37,Design,Validations,Transactions,3 - Moderate / recurring,3,4 - Difficult,4,12,Expert_Survey_E01_RW.xlsx,Round 2
E01_RW,1,20+,4,38,Design,Application logic,+Actions,3 - Moderate / recurring,3,3 - Moderate,3,9,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,39,Design,Application logic,+Graphical actions,3 - Moderate / recurring,3,2 - Easy,2,6,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,40,Design,Application logic,+NLP,3 - Moderate / recurring,3,2 - Easy,2,6,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,41,Design,Application logic,+Custom Language,4 - Frequent / important,4,3 - Moderate,3,12,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,42,Design,Application logic,+Predefined Tasks,4 - Frequent / important,4,2 - Easy,2,8,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,43,Design,Application logic,UML,3 - Moderate / recurring,3,4 - Difficult,4,12,Expert_Survey_E01_RW.xlsx,Round 2
E01_RW,1,20+,4,44,Design,Application logic,Algorithms,4 - Frequent / important,4,3 - Moderate,3,12,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,45,Design,Application logic,Expressions,5 - Essential / continuous,5,2 - Easy,2,10,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,46,Design,Application logic,Control Structures,4 - Frequent / important,4,3 - Moderate,3,12,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,47,Design,Application logic,IT Data Types,5 - Essential / continuous,5,3 - Moderate,3,15,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,48,Design,Application logic,Events,4 - Frequent / important,4,3 - Moderate,3,12,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,49,Design,Application logic,Formulas,5 - Essential / continuous,5,4 - Difficult,4,20,Expert_Survey_E01_RW.xlsx,Round 2
E01_RW,1,20+,4,50,Design,Application logic,Functions,4 - Frequent / important,4,4 - Difficult,4,16,Expert_Survey_E01_RW.xlsx,Round 2
E01_RW,1,20+,4,51,Design,Application logic,Java,2 - Occasional / peripheral,2,5 - Very difficult,5,10,Expert_Survey_E01_RW.xlsx,Round 2
E01_RW,1,20+,4,52,Design,Application logic,JavaScript,3 - Moderate / recurring,3,5 - Very difficult,5,15,Expert_Survey_E01_RW.xlsx,Round 2
E01_RW,1,20+,4,53,Design,Application logic,Microservices,3 - Moderate / recurring,3,5 - Very difficult,5,15,Expert_Survey_E01_RW.xlsx,Round 2
E01_RW,1,20+,4,54,Design,Application logic,SQL,4 - Frequent / important,4,5 - Very difficult,5,20,Expert_Survey_E01_RW.xlsx,Round 2
E01_RW,1,20+,4,55,Design,Application logic,Variables,5 - Essential / continuous,5,3 - Moderate,3,15,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,56,Development,Workflow design and development,+BPMN Process Model,3 - Moderate / recurring,3,3 - Moderate,3,9,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,57,Development,Workflow design and development,Expressions,4 - Frequent / important,4,4 - Difficult,4,16,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,58,Development,Workflow design and development,Custom Process Model,3 - Moderate / recurring,3,4 - Difficult,4,12,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,59,Development,Workflow design and development,Events,3 - Moderate / recurring,3,3 - Moderate,3,9,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,60,Development,Workflow design and development,Java API,3 - Moderate / recurring,3,5 - Very difficult,5,15,Expert_Survey_E01_RW.xlsx,Round 2
E01_RW,1,20+,4,61,Development,Workflow design and development,JavaScript,3 - Moderate / recurring,3,5 - Very difficult,5,15,Expert_Survey_E01_RW.xlsx,Round 2
E01_RW,1,20+,4,62,Development,Workflow design and development,REST API,3 - Moderate / recurring,3,5 - Very difficult,5,15,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,63,Development,Workflow design and development,Triggers,4 - Frequent / important,4,3 - Moderate,3,12,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,64,Development,Database design,+Business Data Types,5 - Essential / continuous,5,2 - Easy,2,10,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,65,Development,Database design,+Custom Database Model,5 - Essential / continuous,5,3 - Moderate,3,15,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,66,Development,Database design,+References,5 - Essential / continuous,5,2 - Easy,2,10,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,67,Development,Database design,+Slices,4 - Frequent / important,4,2 - Easy,2,8,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,68,Development,Database design,Actions,4 - Frequent / important,4,3 - Moderate,3,12,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,69,Development,Database design,Expressions,3 - Moderate / recurring,3,4 - Difficult,4,12,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,70,Development,Database design,Relational Database,4 - Frequent / important,4,5 - Very difficult,5,20,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,71,Development,Database design,Entity Diagrams,4 - Frequent / important,4,3 - Moderate,3,12,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,72,Development,Database design,Functions,3 - Moderate / recurring,3,5 - Very difficult,5,15,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,73,Development,Database design,SQL,4 - Frequent / important,4,5 - Very difficult,5,20,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,74,Development,Database design,IT Data Types,5 - Essential / continuous,5,3 - Moderate,3,15,Expert_Survey_E01_RW.xlsx,Round 1
E01_RW,1,20+,4,75,Development,Database design,Web API,3 - Moderate / recurring,3,5 - Very difficult,5,15,Expert_Survey_E01_RW.xlsx,Round 1
