skill_id,project_stage,project_task,skill_name,round1_usage_mean,round2_usage_mean,usage_mean_change,round1_usage_sd,round2_usage_sd,usage_sd_change,round1_difficulty_mean,round2_difficulty_mean,difficulty_mean_change,round1_difficulty_sd,round2_difficulty_sd,difficulty_sd_change,round1_weight_mean,round2_weight_mean,weight_mean_change,round1_weight_sd,round2_weight_sd,weight_sd_change,weight_sd_reduced
2,Design,Workflow model,Custom Process Model,3.933333333333333,3.933333333333333,0.0,0.8837151016885368,0.5936168397046637,-0.2900982619838731,3.533333333333333,3.533333333333333,0.0,0.7432233529572065,0.5163977794943223,-0.22682557346288423,14,13.933333333333334,-0.06666666666666643,5.0568200058365305,3.2175116087406668,-1.8393083970958637,True
17,Design,Database model,Relational Database,3,3.2,0.20000000000000018,1.0690449676496976,0.9411239481143202,-0.12792101953537738,3.3333333333333335,3.2666666666666666,-0.06666666666666687,1.3972762620115438,0.8837151016885368,-0.5135611603230069,10.466666666666667,10.933333333333334,0.4666666666666668,5.7553287937188715,4.6208636587093705,-1.134465135009501,True
18,Design,Database model,XML/XPath,2.533333333333333,2.6666666666666665,0.1333333333333333,1.3557637102737476,0.7237468644557459,-0.6320168458180018,4.466666666666667,4.466666666666667,0.0,0.6399404734221844,0.6399404734221844,0.0,11.333333333333334,11.866666666666667,0.5333333333333332,6.651172470932869,3.5830287799702694,-3.068143690962599,True
24,Design,UI model,Expressions,4.133333333333334,4.066666666666666,-0.06666666666666732,0.9154754164341269,0.8837151016885368,-0.031760314745590046,3.3333333333333335,3.3333333333333335,0.0,0.816496580927726,0.7237468644557459,-0.09274971647198016,13.933333333333334,13.6,-0.3333333333333339,5.496319114600589,4.792851820307881,-0.7034672942927083,True
26,Design,UI model,Functions,3.466666666666667,3.533333333333333,0.06666666666666643,0.8338093878327919,0.6399404734221844,-0.1938689144106075,3.6666666666666665,3.6,-0.06666666666666643,1.0465362369445672,0.9102589898327995,-0.1362772471117677,12.666666666666666,12.733333333333333,0.06666666666666643,5.17779140266618,4.216746658379227,-0.9610447442869532,True
27,Design,UI model,Model-driven Apps,3.8666666666666667,3.8666666666666667,0.0,0.9154754164341269,0.8338093878327919,-0.08166602860133498,3.466666666666667,3.4,-0.06666666666666687,1.1254628677422756,0.9102589898327995,-0.21520387790947604,13.666666666666666,13.266666666666667,-0.3999999999999986,6.7259270913454925,5.509299497429864,-1.2166275939156286,True
28,Design,UI model,Reactive Web App,3.6,3.6666666666666665,0.06666666666666643,0.9856107606091623,0.816496580927726,-0.16911417968143627,3.6666666666666665,3.533333333333333,-0.1333333333333333,1.0465362369445672,0.8338093878327919,-0.2127268491117753,13.533333333333333,13.133333333333333,-0.40000000000000036,6.696125389962111,5.343442799579776,-1.3526825903823347,True
29,Design,UI model,Responsive Web Design,3.7333333333333334,3.8,0.06666666666666643,0.9611501047232549,0.7745966692414834,-0.1865534354817715,3.6,3.533333333333333,-0.06666666666666687,0.9102589898327995,0.8338093878327919,-0.07644960200000761,13.666666666666666,13.6,-0.06666666666666643,6.195236265143758,5.261721608534063,-0.9335146566096952,True
35,Design,Validations,JavaScript,2.8,2.8,0.0,1.2071217242444348,0.8618916073713346,-0.3452301168731001,4.533333333333333,4.533333333333333,0.0,0.8338093878327919,0.8338093878327919,0.0,12.2,12.266666666666667,0.0666666666666682,5.002856326996752,3.1502078540644782,-1.8526484729322736,True
36,Design,Validations,Scripts,2.933333333333333,2.8666666666666667,-0.06666666666666643,0.9611501047232549,0.6399404734221844,-0.3212096313010705,4.4,4.466666666666667,0.06666666666666643,0.7367883976130073,0.7432233529572065,0.006434955344199245,12.866666666666667,12.8,-0.06666666666666643,5.040786030920556,3.783422486887463,-1.2573635440330926,True
