expert_id,round,years_experience,lcdp_experience_count,skill_id,project_stage,project_task,skill_name,round1_usage_label,round1_usage,panel_usage_mean_r1,panel_usage_sd_r1,round2_usage_label,round2_usage,round1_difficulty_label,round1_difficulty,panel_difficulty_mean_r1,panel_difficulty_sd_r1,round2_difficulty_label,round2_difficulty,round1_weight,panel_weight_mean_r1,panel_weight_sd_r1,round2_weight,comment,source_file
E01_RW,2,20+,4,2,Design,Workflow model,Custom Process Model,5 - Essential / continuous,5,3.93,0.88,4 - Frequent / important,4,4 - Difficult,4,3.53,0.74,4 - Difficult,4,20.0,14.0,5.06,16,,Expert_Survey_Round2_E01_RW.xlsx
E01_RW,2,20+,4,17,Design,Database model,Relational Database,2 - Occasional / peripheral,2,3.0,1.07,3 - Moderate / recurring,3,1 - Very easy,1,3.33,1.4,3 - Moderate,3,2.0,10.47,5.76,9,,Expert_Survey_Round2_E01_RW.xlsx
E01_RW,2,20+,4,18,Design,Database model,XML/XPath,4 - Frequent / important,4,2.53,1.36,3 - Moderate / recurring,3,5 - Very difficult,5,4.47,0.64,5 - Very difficult,5,20.0,11.33,6.65,15,,Expert_Survey_Round2_E01_RW.xlsx
E01_RW,2,20+,4,24,Design,UI model,Expressions,5 - Essential / continuous,5,4.13,0.92,5 - Essential / continuous,5,4 - Difficult,4,3.33,0.82,3 - Moderate,3,20.0,13.93,5.5,15,,Expert_Survey_Round2_E01_RW.xlsx
E01_RW,2,20+,4,26,Design,UI model,Functions,4 - Frequent / important,4,3.47,0.83,4 - Frequent / important,4,5 - Very difficult,5,3.67,1.05,4 - Difficult,4,20.0,12.67,5.18,16,,Expert_Survey_Round2_E01_RW.xlsx
E01_RW,2,20+,4,27,Design,UI model,Model-driven Apps,5 - Essential / continuous,5,3.87,0.92,4 - Frequent / important,4,5 - Very difficult,5,3.47,1.13,4 - Difficult,4,25.0,13.67,6.73,16,,Expert_Survey_Round2_E01_RW.xlsx
E01_RW,2,20+,4,28,Design,UI model,Reactive Web App,5 - Essential / continuous,5,3.6,0.99,4 - Frequent / important,4,5 - Very difficult,5,3.67,1.05,4 - Difficult,4,25.0,13.53,6.7,16,,Expert_Survey_Round2_E01_RW.xlsx
E01_RW,2,20+,4,29,Design,UI model,Responsive Web Design,5 - Essential / continuous,5,3.73,0.96,4 - Frequent / important,4,5 - Very difficult,5,3.6,0.91,4 - Difficult,4,25.0,13.67,6.2,16,,Expert_Survey_Round2_E01_RW.xlsx
E01_RW,2,20+,4,35,Design,Validations,JavaScript,4 - Frequent / important,4,2.8,1.21,3 - Moderate / recurring,3,5 - Very difficult,5,4.53,0.83,5 - Very difficult,5,20.0,12.2,5.0,15,,Expert_Survey_Round2_E01_RW.xlsx
E01_RW,2,20+,4,36,Design,Validations,Scripts,4 - Frequent / important,4,2.93,0.96,3 - Moderate / recurring,3,4 - Difficult,4,4.4,0.74,5 - Very difficult,5,16.0,12.87,5.04,15,,Expert_Survey_Round2_E01_RW.xlsx
E01_RW,2,20+,4,37,Design,Validations,Transactions,4 - Frequent / important,4,3.07,1.1,3 - Moderate / recurring,3,4 - Difficult,4,3.87,0.92,4 - Difficult,4,16.0,11.73,5.4,12,,Expert_Survey_Round2_E01_RW.xlsx
E01_RW,2,20+,4,43,Design,Application logic,UML,4 - Frequent / important,4,3.27,1.03,3 - Moderate / recurring,3,4 - Difficult,4,3.6,0.91,4 - Difficult,4,16.0,12.0,5.92,12,,Expert_Survey_Round2_E01_RW.xlsx
E01_RW,2,20+,4,49,Design,Application logic,Formulas,5 - Essential / continuous,5,4.27,0.8,5 - Essential / continuous,5,4 - Difficult,4,3.13,0.99,4 - Difficult,4,20.0,13.4,5.17,20,,Expert_Survey_Round2_E01_RW.xlsx
E01_RW,2,20+,4,50,Design,Application logic,Functions,5 - Essential / continuous,5,3.87,0.99,4 - Frequent / important,4,5 - Very difficult,5,3.6,1.12,4 - Difficult,4,25.0,14.47,7.38,16,,Expert_Survey_Round2_E01_RW.xlsx
E01_RW,2,20+,4,51,Design,Application logic,Java,4 - Frequent / important,4,2.67,1.23,2 - Occasional / peripheral,2,5 - Very difficult,5,4.8,0.56,5 - Very difficult,5,20.0,12.73,6.23,10,,Expert_Survey_Round2_E01_RW.xlsx
E01_RW,2,20+,4,52,Design,Application logic,JavaScript,4 - Frequent / important,4,2.8,1.08,3 - Moderate / recurring,3,5 - Very difficult,5,4.73,0.59,5 - Very difficult,5,20.0,13.2,5.54,15,,Expert_Survey_Round2_E01_RW.xlsx
E01_RW,2,20+,4,53,Design,Application logic,Microservices,4 - Frequent / important,4,2.67,1.11,3 - Moderate / recurring,3,5 - Very difficult,5,4.53,0.83,5 - Very difficult,5,20.0,12.0,5.81,15,,Expert_Survey_Round2_E01_RW.xlsx
E01_RW,2,20+,4,54,Design,Application logic,SQL,4 - Frequent / important,4,3.2,1.08,4 - Frequent / important,4,5 - Very difficult,5,4.67,0.62,5 - Very difficult,5,20.0,15.0,5.9,20,,Expert_Survey_Round2_E01_RW.xlsx
E01_RW,2,20+,4,60,Development,Workflow design and development,Java API,4 - Frequent / important,4,2.8,1.32,3 - Moderate / recurring,3,5 - Very difficult,5,4.6,0.63,5 - Very difficult,5,20.0,12.6,5.91,15,,Expert_Survey_Round2_E01_RW.xlsx
E01_RW,2,20+,4,61,Development,Workflow design and development,JavaScript,4 - Frequent / important,4,2.8,1.08,3 - Moderate / recurring,3,5 - Very difficult,5,4.67,0.62,5 - Very difficult,5,20.0,13.0,5.53,15,,Expert_Survey_Round2_E01_RW.xlsx
E01_RW,2,20+,4,107,Development,GUI design and development,Programming Functions,4 - Frequent / important,4,3.4,0.99,4 - Frequent / important,4,5 - Very difficult,5,4.0,1.0,5 - Very difficult,5,20.0,13.8,6.19,20,,Expert_Survey_Round2_E01_RW.xlsx
E01_RW,2,20+,4,111,Development,GUI design and development,XML,4 - Frequent / important,4,2.8,1.26,4 - Frequent / important,4,4 - Difficult,4,3.73,1.1,4 - Difficult,4,16.0,10.13,5.38,16,,Expert_Survey_Round2_E01_RW.xlsx
E01_RW,2,20+,4,115,Development,Data validation development,Data Fields,5 - Essential / continuous,5,4.07,0.88,5 - Essential / continuous,5,3 - Moderate,3,2.73,0.96,3 - Moderate,3,15.0,11.33,5.02,15,,Expert_Survey_Round2_E01_RW.xlsx
