skill_id,project_stage,project_task,skill_name,n_experts,usage_mean,usage_median,usage_sd,usage_min,usage_max,difficulty_mean,difficulty_median,difficulty_sd,difficulty_min,difficulty_max,weight_mean,weight_median,weight_sd,weight_min,weight_max,weight_range,consensus_level
1,Design,Workflow model,+BPMN Process Model,15,4.4,5,0.7367883976130073,3,5,2.2666666666666666,2,0.5936168397046637,1,3,9.8,10,2.4842360136324753,5,15,10,High
2,Design,Workflow model,Custom Process Model,15,3.933333333333333,4,0.5936168397046637,3,5,3.533333333333333,4,0.5163977794943223,3,4,13.933333333333334,12,3.2175116087406668,9,20,11,Moderate
3,Design,Database model,+Business Data Types,15,4.466666666666667,5,0.6399404734221844,3,5,1.6,1,0.828078671210825,1,4,7.333333333333333,5,4.386125310350268,3,20,17,Moderate
4,Design,Database model,+Form-based Data,15,3.933333333333333,4,1.2227992865708155,2,5,1.8,2,0.8618916073713346,1,4,7.2,5,4.828486896977739,2,20,18,Moderate
5,Design,Database model,+Item-Detail,15,3.4,4,1.0555973258234952,2,5,2.2,2,0.8618916073713346,1,3,7,6,2.9760952365713798,4,15,11,High
6,Design,Database model,+Lookup/Drop-down,15,3.533333333333333,4,1.245945806357946,2,5,1.9333333333333333,2,0.8837151016885368,1,3,6,6,1.927248223318863,4,10,6,High
7,Design,Database model,+Predefined Entities,15,3.2,4,1.4735767952260146,1,5,1.6666666666666667,1,0.9759000729485332,1,4,5.533333333333333,5,4.138092498218174,1,16,15,Moderate
8,Design,Database model,Domain Model,15,3.933333333333333,4,0.7037315505489968,3,5,3.2666666666666666,3,0.45773770821706344,3,4,13,12,3.6839419880650364,9,20,11,Moderate
9,Design,Database model,Conditional Expressions,15,4.066666666666666,4,0.7037315505489968,3,5,2.533333333333333,3,0.6399404734221844,1,3,10,10,2.0701966780270626,5,12,7,High
10,Design,Database model,Constraints,15,3.6,4,0.7367883976130073,2,5,3,3,0.37796447300922725,2,4,10.733333333333333,12,2.282438128301359,6,15,9,High
11,Design,Database model,Data Structure,15,3.8666666666666667,4,0.6399404734221844,3,5,3.466666666666667,3,0.7432233529572065,2,5,13.6,12,4.641428351580701,8,25,17,Moderate
12,Design,Database model,IT Data Types,15,2.7333333333333334,2,0.9611501047232549,2,5,3.466666666666667,4,0.6399404734221844,2,4,9.266666666666667,8,3.411465262624733,6,20,14,Moderate
13,Design,Database model,Denormalization,15,2.1333333333333333,2,0.7432233529572065,1,4,4.333333333333333,5,0.816496580927726,3,5,8.8,9,1.8973665961010275,5,12,7,High
14,Design,Database model,Entity Diagrams,15,3.2,3,0.6761234037828132,2,4,2.8666666666666667,3,0.7432233529572065,2,4,9,9,2.6457513110645907,6,16,10,High
15,Design,Database model,Enumerations,15,3.4,3,0.6324555320336759,2,4,3.1333333333333333,3,1.1872336794093274,2,5,10.666666666666666,9,4.850135000575708,6,20,14,Moderate
16,Design,Database model,Expressions,15,3.466666666666667,3,0.7432233529572065,2,5,3.533333333333333,3,0.8338093878327919,2,5,11.866666666666667,12,2.263583337058639,8,16,8,High
