type,value,count,percent
usage_intensity,1,255,0.08133971291866028
usage_intensity,2,480,0.15311004784688995
usage_intensity,3,1036,0.3304625199362041
usage_intensity,4,854,0.27240829346092504
usage_intensity,5,510,0.16267942583732056
difficulty_acquisition,1,233,0.07432216905901116
difficulty_acquisition,2,498,0.15885167464114833
difficulty_acquisition,3,1027,0.32759170653907493
difficulty_acquisition,4,688,0.21945773524720893
difficulty_acquisition,5,689,0.21977671451355663
synthetic_weight,1,5,0.001594896331738437
synthetic_weight,2,11,0.0035087719298245615
synthetic_weight,3,21,0.0066985645933014355
synthetic_weight,4,187,0.05964912280701754
synthetic_weight,5,293,0.09346092503987241
synthetic_weight,6,193,0.06156299840510367
synthetic_weight,8,327,0.10430622009569378
synthetic_weight,9,533,0.1700159489633174
synthetic_weight,10,379,0.12089314194577352
synthetic_weight,12,558,0.17799043062200956
synthetic_weight,15,225,0.07177033492822966
synthetic_weight,16,151,0.0481658692185008
synthetic_weight,20,202,0.06443381180223286
synthetic_weight,25,50,0.01594896331738437
