dataset,measure,n_experts,n_skills,cronbach_alpha,icc_single_expert,icc_average_experts
Round 1 all 209 skills,Usage Intensity,15,209,0.8994277416521247,0.31995361324204974,0.8758892361128762
Round 1 all 209 skills,Difficulty of Acquisition,15,209,0.9507347378023613,0.5223255758828897,0.9425358090092584
Round 1 all 209 skills,Synthetic Weight,15,209,0.8433858263048929,0.20020704572410558,0.7896885954743771
Round 1 targeted 46 skills,Usage Intensity,15,46,0.8690421729447664,0.15969437385161567,0.7403034546552412
Round 1 targeted 46 skills,Difficulty of Acquisition,15,46,0.855836236933798,0.22000373203955953,0.8088268922936199
Round 1 targeted 46 skills,Synthetic Weight,15,46,0.5496210576817934,0.026072087721202914,0.28650452155792927
Round 2 targeted 46 skills,Usage Intensity,15,46,0.897489989412261,0.24200329343796287,0.8272587188276361
Round 2 targeted 46 skills,Difficulty of Acquisition,15,46,0.9025251094795094,0.30127272727272725,0.8660882291448883
Round 2 targeted 46 skills,Synthetic Weight,15,46,0.6195611479522676,0.03864574412444329,0.3761654497783734
Final after Round 2 substitution,Usage Intensity,15,209,0.9093488267739388,0.35636405101961877,0.8925320495415757
Final after Round 2 substitution,Difficulty of Acquisition,15,209,0.9543213034653766,0.5425097082946166,0.9467733499307296
Final after Round 2 substitution,Synthetic Weight,15,209,0.8738396500243887,0.25016929512584085,0.8334586711153507
