measure,value,count,proportion
Usage Intensity,1,178,0.05677830940988836
Usage Intensity,2,523,0.16682615629984052
Usage Intensity,3,1104,0.3521531100478469
Usage Intensity,4,857,0.2733652312599681
Usage Intensity,5,473,0.15087719298245614
Difficulty of Acquisition,1,226,0.07208931419457736
Difficulty of Acquisition,2,485,0.1547049441786284
Difficulty of Acquisition,3,1040,0.3317384370015949
Difficulty of Acquisition,4,744,0.23732057416267943
Difficulty of Acquisition,5,640,0.20414673046251994
Synthetic Weight,1,5,0.001594896331738437
Synthetic Weight,2,10,0.003189792663476874
Synthetic Weight,3,16,0.005103668261562998
Synthetic Weight,4,182,0.05805422647527911
Synthetic Weight,5,220,0.07017543859649122
Synthetic Weight,6,181,0.05773524720893142
Synthetic Weight,8,338,0.10781499202551834
Synthetic Weight,9,537,0.17129186602870813
Synthetic Weight,10,411,0.13110047846889952
Synthetic Weight,12,610,0.19457735247208932
Synthetic Weight,15,263,0.08389154704944178
Synthetic Weight,16,176,0.056140350877192984
Synthetic Weight,20,153,0.04880382775119617
Synthetic Weight,25,33,0.010526315789473684
