measure,value,count,proportion
Usage Intensity,1,13,0.01884057971014493
Usage Intensity,2,127,0.18405797101449275
Usage Intensity,3,263,0.38115942028985506
Usage Intensity,4,194,0.2811594202898551
Usage Intensity,5,93,0.13478260869565217
Difficulty of Acquisition,1,5,0.007246376811594203
Difficulty of Acquisition,2,32,0.0463768115942029
Difficulty of Acquisition,3,186,0.26956521739130435
Difficulty of Acquisition,4,227,0.3289855072463768
Difficulty of Acquisition,5,240,0.34782608695652173
Synthetic Weight,1,1,0.0014492753623188406
Synthetic Weight,3,2,0.002898550724637681
Synthetic Weight,4,5,0.007246376811594203
Synthetic Weight,5,9,0.013043478260869565
Synthetic Weight,6,9,0.013043478260869565
Synthetic Weight,8,49,0.07101449275362319
Synthetic Weight,9,103,0.1492753623188406
Synthetic Weight,10,101,0.1463768115942029
Synthetic Weight,12,155,0.2246376811594203
Synthetic Weight,15,77,0.11159420289855072
Synthetic Weight,16,63,0.09130434782608696
Synthetic Weight,20,86,0.1246376811594203
Synthetic Weight,25,30,0.043478260869565216
